Date	Time	Serial number	Customer	Modul type	Protocol file	File version	
27.09.2016	15:43:49					1.03	

[mm²] Cell area	[°C] T Cell	[%/K] Modul-TkI	[%/K] Modul TkU	[°C] T Monitor Cell	[%/K] Monitor Cell TkI	LoadType	Measurement type	[W/m²] corrected to	Gain monitor mell	Optical class	[W/m²/mV] Calibration value	Spectral mismatch faktor	Correction Type	CellParamTkI_Umpp	CellParamTkU_Umpp	IEC60891_RsType	IEC60891_TkI	IEC60891_TkU	IEC60891_Kfact	MeasureTimeLf	
23590.000000000	22.171234200	0.070000000	-0.200000000	22.291587275	0.065590000	EL3	LF2	1000.000000000	100.000000000	0	15.589536000	1.000000000	S	0.070000000	-0.360000000	1.000000000	0.008000000	-2.000000000	0.012500000	19.900000000	

[A]Isc	[V]Uoc	[A]Impp	[V]Umpp	[W]Pmpp	[%]Eta	[%]FF	[Ohm]Rser	[Ohm]Rshunt	[W/m²]Irrad.	
9.439855146	0.672832639	8.742189700	0.575808166	5.033824220	21.338805511	79.254816506	0.004029179	48.378290829	995.302736411	

Ufrom[V]	Uto[V]	Lines	Decimals	Ifrom[A]	Ito[A]	Lines	Decimals	
0.000000000	1.000000000	10	1	0.000000000	10.000000000	10	1	

Nr	[V]Uraw	[A]Iraw	[mV]Eraw	[V]Uflt	[A]Iflt	[mV]Eflt	[V]Ucor	[A]Icor	[W/m2]Ecor	
147	0.652552917	4.686440888	63.845691987	0.653594400	4.581330932	63.829250775	0.649991968	4.604975832	996.839235782	
148	0.653474229	4.581026349	63.833493668	0.654315426	4.476554566	63.832830716	0.650707699	4.499406345	996.895144727	
149	0.654395540	4.475278220	63.812146610	0.655023101	4.372111790	63.836675839	0.651410050	4.394165720	996.955195075	
150	0.654702644	4.371865223	63.821295350	0.655797537	4.268017108	63.840255780	0.652178890	4.289305418	997.011104020	
151	0.656238164	4.267451455	63.851791147	0.656518563	4.164372048	63.842112046	0.652895250	4.185021703	997.040093843	
152	0.656545268	4.163704867	63.857890306	0.657186181	4.061191113	63.841979455	0.653559232	4.081337607	997.038023141	
153	0.657159476	4.060625460	63.857890306	0.657880503	3.958271250	63.839062466	0.654250805	3.978088947	996.992467705	
154	0.657773684	3.957546053	63.836543248	0.658521415	3.855815512	63.835349934	0.654889561	3.875345618	996.934488059	
155	0.658694996	3.855467417	63.821295350	0.659202385	3.753809395	63.833891440	0.655567317	3.772909032	996.911710340	
156	0.659002100	3.753388781	63.818245770	0.659883354	3.652238397	63.834686982	0.656244236	3.670775486	996.924134550	
157	0.659923411	3.650976555	63.833493668	0.660550972	3.551204043	63.836145477	0.656907628	3.569146781	996.946912268	
158	0.660537619	3.550232280	63.848741567	0.661191884	3.450633816	63.837603972	0.657544461	3.467989179	996.969689987	
159	0.661458931	3.450155186	63.848741567	0.661846149	3.350614738	63.839460237	0.658194424	3.367369127	996.998679810	
160	0.661766035	3.350078092	63.839592828	0.662433652	3.251175816	63.840786142	0.658778190	3.267365111	997.019386826	
161	0.662380243	3.250334588	63.821295350	0.662954394	3.152186517	63.843172769	0.659295165	3.167764468	997.056659456	
162	0.662994451	3.150924675	63.833493668	0.663395021	3.053733862	63.846089759	0.659732269	3.068685058	997.102214893	
163	0.663915763	3.053182713	63.857890306	0.663808944	2.955701822	63.847283072	0.660143459	2.970117536	997.120851207	
164	0.663915763	2.955440751	63.860939886	0.664182810	2.858133907	63.847283072	0.660515260	2.872073758	997.120851207	
165	0.663915763	2.857365199	63.854840726	0.664583380	2.761015614	63.844896445	0.660914513	2.774585509	997.083578578	
166	0.664222867	2.760624008	63.842642408	0.665024007	2.664245415	63.841979455	0.661353803	2.677462031	997.038023141	
167	0.665144179	2.663215637	63.830444089	0.665504692	2.567953846	63.842112046	0.661831785	2.580687425	997.040093843	
168	0.665451283	2.567475217	63.833493668	0.666012081	2.472111899	63.844763854	0.662335377	2.484267043	997.081507876	
169	0.666065490	2.471401206	63.839592828	0.666519470	2.376719573	63.848741567	0.662838470	2.388256886	997.143628926	
170	0.666679698	2.375994377	63.851791147	0.666960098	2.281733357	63.852586689	0.663275217	2.292671509	997.203679274	
171	0.666986802	2.281254727	63.863989466	0.667414077	2.187051724	63.855238498	0.663725690	2.197444731	997.245093307	
172	0.667293906	2.186515078	63.860939886	0.667854705	2.092747192	63.858553258	0.664162634	2.102582913	997.296860848	
173	0.667908114	2.092776200	63.851791147	0.668295332	1.998747244	63.863591694	0.664598926	2.007982743	997.375547511	
174	0.668215218	1.998036551	63.848741567	0.668722607	1.905138901	63.871281939	0.665020938	1.913711426	997.495648207	
175	0.668829426	1.904297673	63.860939886	0.669176587	1.812009188	63.881093630	0.665468703	1.819883095	997.648880130	
176	0.669136530	1.811225976	63.885336524	0.669643919	1.719372608	63.889049055	0.665930443	1.726628946	997.773122229	
177	0.669750738	1.718487868	63.900584422	0.670084546	1.627287177	63.892363816	0.666367375	1.634070103	997.824889770	
178	0.669750738	1.626416942	63.909733161	0.670498469	1.535810912	63.891700864	0.666779252	1.542228545	997.814536262	
179	0.670672050	1.535013196	63.906683582	0.670925744	1.444856788	63.888518694	0.667205360	1.450966621	997.764839422	
180	0.671286257	1.444276631	63.882286944	0.671272905	1.354439309	63.886529837	0.667551349	1.360209139	997.733778897	
181	0.671286257	1.353206475	63.860939886	0.671646771	1.264616491	63.887457970	0.667922790	1.269985231	997.748273809	
182	0.671286257	1.264137861	63.876187784	0.672007284	1.175301310	63.889844598	0.668280401	1.180246786	997.785546439	
183	0.672207569	1.174402067	63.897534842	0.672341093	1.086479263	63.891966045	0.668611554	1.091014764	997.818677665	
184	0.672207569	1.085667044	63.909733161	0.672714958	0.998208366	63.890905321	0.668983748	1.002392021	997.802112052	
185	0.672821777	0.997599201	63.903634002	0.673062119	0.910329074	63.886662428	0.669330593	0.914205124	997.735849599	
186	0.673128881	0.909864948	63.888386103	0.673369223	0.822913908	63.882949896	0.669637404	0.826465783	997.677869953	
187	0.673435985	0.822130696	63.873138205	0.673662975	0.735991875	63.881889173	0.669929930	0.739180850	997.661304340	
188	0.673743089	0.735397214	63.857890306	0.673943374	0.649577480	63.886529837	0.670207013	0.652344641	997.733778897	
189	0.673743089	0.648663733	63.873138205	0.674250478	0.563728738	63.893954901	0.670509592	0.566064399	997.849738190	
190	0.674357297	0.562597432	63.903634002	0.674610991	0.478489161	63.901512555	0.670865232	0.480414829	997.967768185	
191	0.674357297	0.477531902	63.912782741	0.674971505	0.393786229	63.906683582	0.671221777	0.395339021	998.048525549	
192	0.674971505	0.393133552	63.921931480	0.675372075	0.309648951	63.908009486	0.671619618	0.310863519	998.069232566	
193	0.675278609	0.309068793	63.906683582	0.675732588	0.226062821	63.908009486	0.671978128	0.226949531	998.069232566	
194	0.676199921	0.225337625	63.906683582	0.676053045	0.142911809	63.909467980	0.672296248	0.143469093	998.092010284	
195	0.675892817	0.141940046	63.894485263	0.676400206	0.060108892	63.913180512	0.672640065	0.060339781	998.149989930	
196	0.676507025	0.059543239	63.903634002	0.676668658	-0.022484864	63.919363413	0.672904668	-0.022569049	998.246550018	
197	0.676507025	-0.022186388	63.921931480	0.677003116	-0.104685839	63.932487718	0.673232261	-0.105056220	998.451515948	
198	0.676814128	-0.104583195	63.937179379	0.677735440	-0.187313593	63.937179379	0.673958716	-0.187962520	998.524786930	
199	0.677735440	-0.187313593	63.937179379	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	0.000000000	

[W/m²] corrected to	
-	

0	0.662073139	-0.794781554	31.956236930	0.662073139	-0.794781554	31.937939451	0.658413039	-0.798300366	498.783720139	
1	0.662073139	-0.794781554	31.937939451	0.661766035	-0.776254461	31.933013207	0.658111720	-0.779811528	498.706785609	
2	0.661766035	-0.783439484	31.934889872	0.661685218	-0.733804756	31.925901637	0.658037249	-0.737331509	498.595722226	
