WL	QE	DSig	MSig	Mcorr	DSD	MSD	RSD	GC
1060	5.47E+01	2.74E-01	2.71E-01	9.95E-01	0.132	0.133	0.011	B-B-3
1065	5.10E+01	2.31E-01	2.47E-01	9.95E-01	0.057	0.077	0.021	B-B-3
1070	4.79E+01	2.15E-01	2.47E-01	9.95E-01	0.164	0.151	0.023	B-B-3
1075	4.49E+01	2.20E-01	2.72E-01	9.96E-01	0.044	0.044	0.009	B-B-3
1080	4.18E+01	2.73E-01	3.67E-01	9.92E-01	0.099	0.097	0.022	B-B-3
1085	3.95E+01	2.94E-01	4.23E-01	9.95E-01	0.154	0.168	0.017	B-B-3
1090	3.65E+01	2.26E-01	3.55E-01	9.97E-01	0.163	0.183	0.021	B-B-3
1095	3.38E+01	1.57E-01	2.63E-01	9.96E-01	0.082	0.095	0.014	B-B-3
1100	3.12E+01	1.21E-01	2.21E-01	9.95E-01	0.077	0.103	0.034	B-B-3
1105	2.85E+01	1.18E-01	2.41E-01	9.96E-01	0.051	0.086	0.044	B-B-3
1110	2.59E+01	1.48E-01	3.39E-01	1.00E+00	0.157	0.165	0.011	B-B-3
1115	2.35E+01	1.41E-01	3.59E-01	9.96E-01	0.15	0.144	0.009	B-B-3
1120	2.10E+01	9.94E-02	2.83E-01	9.96E-01	0.102	0.122	0.026	B-B-3
1125	1.88E+01	7.15E-02	2.29E-01	9.96E-01	0.19	0.169	0.043	B-B-3
1130	1.66E+01	5.58E-02	2.03E-01	9.95E-01	0.151	0.183	0.034	B-B-3
1135	1.45E+01	4.46E-02	1.89E-01	9.96E-01	0.06	0.086	0.074	B-B-3
1140	1.26E+01	3.71E-02	1.81E-01	9.95E-01	0.123	0.164	0.045	M-B-3
1145	1.09E+01	3.13E-02	1.79E-01	9.94E-01	0.052	0.04	0.028	CA-B-3
1150	9.24E+00	2.62E-02	1.78E-01	9.96E-01	0.183	0.184	0.106	CA-B-3
1155	7.73E+00	2.19E-02	1.80E-01	9.96E-01	0.13	0.102	0.064	CA-B-3
1160	6.26E+00	1.84E-02	1.88E-01	9.98E-01	0.298	0.19	0.114	CA-B-3
1165	4.92E+00	1.59E-02	2.08E-01	9.95E-01	0.019	0.04	0.049	CA-B-3
1170	3.71E+00	1.39E-02	2.44E-01	9.95E-01	0.19	0.05	0.203	CA-B-3
1175	1.92E+00	9.10E-03	3.15E-01	9.99E-01	0.593	0.242	0.452	CA-B-3
1180	1.07E+00	5.58E-03	3.48E-01	9.96E-01	0.442	0.084	0.485	CA-B-3
1185	8.59E-01	3.70E-03	2.88E-01	9.97E-01	0.176	0.066	0.201	CA-B-3
