Wavelength (nm) 	Jph (mA/cm2/nm)
979	0.05023872
980	0.04764348
981	0.05627826
982	0.05466024
983	0.05284998
984	0.05834484
985	0.05450004
986	0.05953032
987	0.05868126
988	0.05836086
989	0.05957838
990	0.05829678
991	0.06005898
992	0.0599148
993	0.0588735
994	0.06026724
995	0.0601551
996	0.05997888
997	0.05930604
998	0.05929002
999	0.05933808
1000	0.05912982
1001	0.0599148
1002	0.05866524
1003	0.05922594
1004	0.0583929
1005	0.05509278
1006	0.05763996
1007	0.05890554
1008	0.05892156
1009	0.0583929
1010	0.05840892
1011	0.05876136
1012	0.05848902
1013	0.05845698
1014	0.05876136
1015	0.05780016
1016	0.05810454
1017	0.05752782
1018	0.058473
1019	0.05643846
1020	0.05733558
1021	0.05760792
1022	0.05667876
1023	0.05717538
1024	0.056871
1025	0.05749578
1026	0.05744772
1027	0.05723946
1028	0.0573516
1029	0.0567909
1030	0.0571914
1031	0.05698314
1032	0.05707926
1033	0.05616612
1034	0.0565506
1035	0.0567909
1036	0.05682294
1037	0.05627826
1038	0.05607
1039	0.05650254
1040	0.05616612
1041	0.0562302
1042	0.0563103
1043	0.05579766
1044	0.05610204
1045	0.05584572
1046	0.05443596
1047	0.05530104
1048	0.05584572
1049	0.0555894
1050	0.055269
1051	0.05538114
1052	0.05509278
1053	0.05496462
1054	0.0547884
1055	0.05501268
1056	0.05488452
1057	0.05480442
1058	0.05429178
1059	0.05268978
1060	0.05419566
1061	0.05299416
1062	0.05401944
1063	0.05320242
1064	0.0540675
1065	0.05387526
1066	0.05289804
1067	0.05321844
1068	0.05320242
1069	0.05039892
1070	0.05203296
1071	0.0531063
1072	0.05304222
1073	0.05208102
1074	0.05368302
1075	0.05121594
1076	0.0531864
1077	0.05233734
1078	0.05228928
1079	0.0524655
1080	0.05187276
1081	0.05049504
1082	0.05128002
1083	0.05209704
1084	0.05043096
1085	0.05176062
1086	0.0483804
1087	0.04954986
1088	0.05188878
1089	0.05071932
1090	0.04871682
1091	0.05161644
1092	0.05103972
1093	0.04487202
1094	0.04746726
1095	0.04584924
1096	0.04434336
1097	0.05103972
1098	0.04440744
1099	0.04487202
1100	0.04296564
1101	0.04399092
1102	0.04153986
1103	0.04136364
1104	0.04150782
1105	0.04500018
1106	0.03538818
1107	0.04299768
1108	0.03703824
1109	0.03681396
1110	0.04275738
1111	0.02962098
1112	0.03697416
1113	0.02403
1114	0.02686554
1115	0.02239596
1116	0.01807056
1117	0.007151328
1118	0.01956042
1119	0.010182312
1120	0.012779154
1121	0.01675692
1122	0.0073692
1123	0.01157445
1124	0.009825066
1125	0.013051494
1126	0.004671432
1127	0.01424979
1128	0.009000036
1129	0.009615204
1130	0.006412806
1131	0.02688156
1132	0.0213066
1133	0.013967838
1134	0.003806352
1135	0.001411202
1136	0.011761884
1137	0.02632086
1138	0.01859922
1139	0.02734614
1140	0.0234693
1141	0.01773414
1142	0.02064978
1143	0.02865978
1144	0.010419408
1145	0.013445586
1146	0.014526936
1147	0.005458014
1148	0.02502324
1149	0.0201852
1150	0.011249244
1151	0.0188235
1152	0.02294064
1153	0.02207556
1154	0.013221306
1155	0.02909232
1156	0.0261126
1157	0.02926854
1158	0.02902824
1159	0.0313992
1160	0.02672136
1161	0.0324405
1162	0.03271284
1163	0.0438147
1164	0.03761496
1165	0.03639744
1166	0.03514788
1167	0.03846402
1168	0.0394092
1169	0.03977766
1170	0.04315788
1171	0.0422127
1172	0.04286952
1173	0.04304574
1174	0.0317997
1175	0.04274136
1176	0.04508028
1177	0.04471182
1178	0.03410658
1179	0.04586526
1180	0.0418122
1181	0.04322196
1182	0.03071034
1183	0.0417321
1184	0.0399699
1185	0.03881646
1186	0.04551282
1187	0.0434943
1188	0.03200796
1189	0.03974562
1190	0.04424724
1191	0.0427734
1192	0.04536864
1193	0.04359042
1194	0.0450162
1195	0.04294962
1196	0.04147578
1197	0.04592934
1198	0.04179618
1199	0.03517992
1200	0.043254
